Country,Average_Tuition,Happiness_Score,GDP_per_capita
Algeria,1100.0,5.211,1.002
Argentina,0.0,6.086,1.092
Australia,34610.46511627907,7.228,1.372
Austria,1500.0,7.246,1.376
Bahrain,7600.0,6.199,1.362
Bangladesh,2220.0,4.456,0.562
Belgium,3566.6666666666665,6.923,1.356
Brazil,1000.0,6.3,1.004
Bulgaria,3200.0,5.011,1.092
Canada,29456.57894736842,7.278,1.365
China,7583.333333333333,5.191,1.029
Colombia,3550.0,6.125,0.985
Croatia,3583.3333333333335,5.432,1.155
Cyprus,7750.0,6.046,1.263
Czech Republic,9800.0,6.852,1.269
Denmark,1720.0,7.6,1.383
Dominican Republic,5160.0,5.425,1.015
Ecuador,7360.0,6.028,0.912
Egypt,4700.0,4.166,0.913
El Salvador,4800.0,6.253,0.794
Finland,0.0,7.769,1.34
France,4633.333333333333,6.592,1.324
Germany,177.27272727272728,6.985,1.373
Ghana,4000.0,4.996,0.611
Greece,147.05882352941177,5.287,1.181
Hong Kong,22000.0,5.43,1.438
Hungary,5600.0,5.758,1.201
Iceland,0.0,7.494,1.38
India,1900.0,4.015,0.755
Indonesia,3900.0,5.192,0.931
Iran,2800.0,4.548,1.1
Ireland,17890.0,7.021,1.499
Israel,12000.0,7.139,1.276
Italy,3576.470588235294,6.223,1.294
Japan,7875.0,5.886,1.327
Kuwait,11800.0,6.021,1.5
Lebanon,14200.0,5.197,0.987
Luxembourg,400.0,7.09,1.609
Malaysia,7220.0,5.339,1.221
Mexico,5700.0,6.595,1.07
Morocco,1950.0,5.208,0.801
Netherlands,13523.809523809523,7.488,1.396
New Zealand,29333.333333333332,7.307,1.303
Nigeria,2500.0,5.265,0.696
Norway,0.0,7.554,1.488
Panama,6600.0,6.321,1.149
Peru,7250.0,5.697,0.96
Poland,2762.5,6.182,1.206
Portugal,5900.0,5.693,1.221
Romania,2185.714285714286,6.07,1.162
Russia,4622.222222222223,5.648,1.183
Saudi Arabia,4790.0,6.375,1.403
Serbia,2520.0,5.603,1.004
Singapore,34172.22222222222,6.262,1.572
Slovenia,4140.0,6.118,1.258
South Africa,5900.0,4.722,0.96
South Korea,5982.608695652174,5.895,1.301
Spain,3188.235294117647,6.354,1.286
Sweden,0.0,7.343,1.387
Switzerland,1460.0,7.48,1.452
Taiwan,5200.0,6.446,1.368
Thailand,9850.0,6.008,1.05
Tunisia,1400.0,4.461,0.921
Turkey,1277.7777777777778,5.373,1.183
Ukraine,3520.0,4.332,0.82
United Kingdom,30341.935483870966,7.054,1.333
United States,47742.307692307695,6.892,1.433
Uruguay,2700.0,6.293,1.124
Uzbekistan,3620.0,6.174,0.745
Vietnam,3200.0,5.175,0.741
